"Session","Date","Treatment","Protocol","Stage","DayNumber","Trial","ID","Latency","Reason","Scoring","Force"
52,"2024-03-19 19:42:00","CCD","AMN","POST",7,"C","DW 239",4.3,"Detection","Auto",45
53,"2024-03-25 22:02:00","CCD","AMN","POST",13,"I","DW 239",0.4,"Detection","Auto",9.08
54,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.9,"Detection","Auto",21.8
55,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.3,"Detection","Auto",8.33
56,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.2,"Detection","Auto",6.09
57,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.2,"Detection","Auto",6.09
58,"2024-03-25 22:03:00","CCD","AMN","POST",13,"I","DW 239",0.2,"Detection","Auto",6.84
59,"2024-03-25 22:04:00","CCD","AMN","POST",13,"I","DW 239",0.1,"Detection","Auto",3.09
60,"2024-03-25 22:05:00","CCD","AMN","POST",13,"C","DW 239",0.8,"Detection","Auto",19.56
61,"2024-03-25 22:05:00","CCD","AMN","POST",13,"C","DW 239",2.4,"Detection","Auto",45
62,"2024-03-25 22:05:00","CCD","AMN","POST",13,"C","DW 239",1.2,"Detection","Auto",26.29
63,"2024-03-25 22:05:00","CCD","AMN","POST",13,"C","DW 239",1.4,"Detection","Auto",32.28
64,"2024-03-25 22:06:00","CCD","AMN","POST",13,"C","DW 239",1.3,"Detection","Auto",29.28
65,"2024-03-25 22:06:00","CCD","AMN","POST",13,"C","DW 239",1.2,"Detection","Auto",27.04
66,"2024-03-25 22:06:00","CCD","AMN","POST",13,"C","DW 239",2.9,"Detection","Auto",45
67,"2024-03-25 22:06:00","CCD","AMN","POST",13,"C","DW 239",3.4,"Detection","Auto",45
68,"2024-03-25 22:06:00","CCD","AMN","POST",13,"C","DW 239",4.2,"Detection","Auto",45
69,"2024-03-29 15:11:00","CCD","AMN","PRE",0,"C","DW 240",10.2,"Screen Button","Auto",45
70,"2024-03-29 15:12:00","CCD","AMN","PRE",0,"C","DW 240",7,"Cutoff","Auto",45
71,"2024-03-29 15:12:00","CCD","AMN","PRE",0,"C","DW 240",3.3,"Detection","Auto",45
72,"2024-03-29 15:12:00","CCD","AMN","PRE",0,"C","DW 240",4,"Detection","Auto",45
73,"2024-03-29 15:13:00","CCD","AMN","PRE",0,"C","DW 240",1.8,"Detection","Auto",42.01
74,"2024-03-29 15:14:00","CCD","AMN","PRE",0,"I","DW 240",7,"Cutoff","Auto",45
75,"2024-03-29 15:14:00","CCD","AMN","PRE",0,"I","DW 240",7,"Cutoff","Auto",45
76,"2024-03-29 15:14:00","CCD","AMN","PRE",0,"I","DW 240",7,"Cutoff","Auto",45
77,"2024-03-29 15:14:00","CCD","AMN","PRE",0,"I","DW 240",7,"Cutoff","Auto",45
78,"2024-03-29 15:14:00","CCD","AMN","PRE",0,"I","DW 240",7,"Cutoff","Auto",45
79,"2024-04-02 16:01:00","CCD","AMN","POST",4,"I","DW 240",0.1,"Detection","Auto",3.84
80,"2024-04-02 16:01:00","CCD","AMN","POST",4,"I","DW 240",2.2,"Detection","Auto",45
81,"2024-04-02 16:01:00","CCD","AMN","POST",4,"I","DW 240",2.1,"Detection","Auto",45
82,"2024-04-02 16:01:00","CCD","AMN","POST",4,"I","DW 240",1.4,"Detection","Auto",33.78
83,"2024-04-02 16:02:00","CCD","AMN","POST",4,"I","DW 240",1.2,"Detection","Auto",26.29
84,"2024-04-02 16:02:00","CCD","AMN","POST",4,"I","DW 240",3.5,"Manual Stop","Auto",45
85,"2024-04-02 16:03:00","CCD","AMN","POST",4,"C","DW 240",0.7,"Detection","Auto",18.06
86,"2024-04-02 16:03:00","CCD","AMN","POST",4,"C","DW 240",1.8,"Detection","Auto",41.26
87,"2024-04-02 16:03:00","CCD","AMN","POST",4,"C","DW 240",1.5,"Detection","Auto",34.52
88,"2024-04-02 16:03:00","CCD","AMN","POST",4,"C","DW 240",0.9,"Detection","Auto",20.31
89,"2024-04-02 16:03:00","CCD","AMN","POST",4,"C","DW 240",1,"Detection","Auto",24.05
90,"2024-04-02 16:05:00","CCD","AMN","POST",4,"I","DW 240",7,"Cutoff","Auto",45
91,"2024-04-02 16:05:00","CCD","AMN","POST",4,"I","DW 240",4.7,"Manual Stop","Auto",45
92,"2024-04-02 16:05:00","CCD","AMN","POST",4,"I","DW 240",1.5,"Detection","Auto",34.52
93,"2024-04-02 16:05:00","CCD","AMN","POST",4,"I","DW 240",0.4,"Detection","Auto",10.58
94,"2024-04-02 16:05:00","CCD","AMN","POST",4,"I","DW 240",1.3,"Detection","Auto",29.28
95,"2024-04-02 16:05:00","CCD","AMN","POST",4,"I","DW 240",0.8,"Detection","Auto",18.81
96,"2024-04-02 16:08:00","CCD","AMN","POST",21,"I","DW 239",0.3,"Detection","Auto",9.08
97,"2024-04-02 16:08:00","CCD","AMN","POST",21,"I","DW 239",0.7,"Detection","Auto",18.06
98,"2024-04-02 16:08:00","CCD","AMN","POST",21,"I","DW 239",2.9,"Manual Stop","Auto",45
99,"2024-04-02 16:08:00","CCD","AMN","POST",21,"I","DW 239",0.3,"Detection","Auto",8.33
100,"2024-04-02 16:09:00","CCD","AMN","POST",21,"I","DW 239",0.2,"Detection","Auto",6.09
101,"2024-04-02 16:09:00","CCD","AMN","POST",21,"I","DW 239",0.4,"Detection","Auto",10.58
102,"2024-04-02 16:09:00","CCD","AMN","POST",21,"C","DW 239",1.6,"Detection","Auto",36.77
103,"2024-04-02 16:09:00","CCD","AMN","POST",21,"C","DW 239",0.8,"Detection","Auto",18.06
