Session;Date;Treatment;Protocol;Stage;Trial;ID;Latency;Reason;Mode;Scoring;Force;TargetForce;RampDuration;CutoffTime;LegacyMode;TouchPause;TouchForce;TimeThreshold
3176;07/02/2025 10:44:45;CCD;AMN;PRE;I;DW369;4.7;Detection;Ramp;Auto;46.73;60.00;6;5;OFF;1.2;0.3;0.0
3177;07/02/2025 10:45:44;CCD;AMN;PRE;I;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3178;07/02/2025 10:45:54;CCD;AMN;PRE;I;DW369;1.1;Detection;Ramp;Auto;11.91;60.00;6;5;OFF;1.2;0.3;0.0
3179;07/02/2025 10:47:17;CCD;AMN;PRE;I;DW369;0.2;Detection;Ramp;Auto;2.62;60.00;6;5;OFF;1.2;0.3;0.0
3180;07/02/2025 10:47:36;CCD;AMN;PRE;I;DW369;3.7;Detection;Ramp;Auto;38.11;60.00;6;5;OFF;1.2;0.3;0.0
3181;07/02/2025 10:47:54;CCD;AMN;PRE;I;DW369;11.0;Cutoff;Ramp;Auto;60.00;60.00;6;5;OFF;1.2;0.3;0.0
3182;07/02/2025 10:48:00;CCD;AMN;PRE;I;DW369;2.0;Detection;Ramp;Auto;19.54;60.00;6;5;OFF;1.2;0.3;0.0
3183;07/02/2025 10:49:51;CCD;AMN;PRE;C;DW369;1.9;Undefined;Ramp;Auto;19.54;60.00;6;5;OFF;1.2;0.3;0.0
3184;07/02/2025 10:49:58;CCD;AMN;PRE;C;DW369;3.9;Detection;Ramp;Auto;38.77;60.00;6;5;OFF;1.2;0.3;0.0
3185;07/02/2025 10:50:04;CCD;AMN;PRE;C;DW369;2.3;Detection;Ramp;Auto;23.85;60.00;6;5;OFF;1.2;0.3;0.0
3186;07/02/2025 10:50:13;CCD;AMN;PRE;C;DW369;4.6;Detection;Ramp;Auto;46.40;60.00;6;5;OFF;1.2;0.3;0.0
3187;07/02/2025 10:51:14;CCD;AMN;PRE;C;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3188;07/02/2025 10:51:22;CCD;AMN;PRE;C;DW369;0.9;Detection;Ramp;Auto;9.92;60.00;6;5;OFF;1.2;0.3;0.0
3189;07/02/2025 10:51:32;CCD;AMN;PRE;C;DW369;3.6;Detection;Ramp;Auto;36.12;60.00;6;5;OFF;1.2;0.3;0.0
3190;07/02/2025 10:51:49;CCD;AMN;PRE;I;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3191;07/02/2025 10:51:55;CCD;AMN;PRE;I;DW369;4.1;Detection;Ramp;Auto;41.10;60.00;6;5;OFF;1.2;0.3;0.0
3192;07/02/2025 10:52:04;CCD;AMN;PRE;I;DW369;3.9;Detection;Ramp;Auto;39.10;60.00;6;5;OFF;1.2;0.3;0.0
3193;07/02/2025 10:52:11;CCD;AMN;PRE;I;DW369;4.0;Detection;Ramp;Auto;40.43;60.00;6;5;OFF;1.2;0.3;0.0
3194;07/02/2025 10:52:17;CCD;AMN;PRE;I;DW369;2.2;Detection;Ramp;Auto;22.85;60.00;6;5;OFF;1.2;0.3;0.0
3195;07/02/2025 10:52:25;CCD;AMN;PRE;I;DW369;3.1;Detection;Ramp;Auto;31.15;60.00;6;5;OFF;1.2;0.3;0.0
3196;07/02/2025 10:52:43;CCD;AMN;PRE;I;DW369;4.7;Detection;Ramp;Auto;46.73;60.00;6;5;OFF;1.2;0.3;0.0
3197;07/03/2025 13:53:27;CCD;AMN;POST;TEST;DW369;1.8;Detection;Ramp;Auto;19.20;60.00;6;5;OFF;1.2;0.3;0.0
3198;07/03/2025 13:53:38;CCD;AMN;POST;TEST;DW369;4.5;Detection;Ramp;Auto;45.41;60.00;6;5;OFF;1.2;0.3;0.0
3199;07/03/2025 13:54:02;CCD;AMN;POST;TEST;DW369;3.3;Detection;Ramp;Auto;32.80;60.00;6;5;OFF;1.2;0.3;0.0
3200;07/03/2025 13:54:19;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3201;07/03/2025 13:54:24;CCD;AMN;POST;TEST;DW369;1.0;Detection;Ramp;Auto;10.58;60.00;6;5;OFF;1.2;0.3;0.0
3202;07/03/2025 13:54:33;CCD;AMN;POST;TEST;DW369;2.7;Detection;Ramp;Auto;27.50;60.00;6;5;OFF;1.2;0.3;0.0
3203;07/03/2025 13:54:41;CCD;AMN;POST;TEST;DW369;0.8;Detection;Ramp;Auto;8.92;60.00;6;5;OFF;1.2;0.3;0.0
