Session,Date,Treatment,Protocol,Stage,dayspost,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold
41,2024-03-19 19:37:00,CCD,AMN,POST,7,I,DW 239,0.5,Detection,Ramp,Auto,12.07,45,2,30,OFF,1.2,0.1,0
42,2024-03-19 19:37:00,CCD,AMN,POST,7,I,DW 239,0.5,Detection,Ramp,Auto,12.07,45,2,30,OFF,1.2,0.1,0
43,2024-03-19 19:37:00,CCD,AMN,POST,7,I,DW 239,0.5,Detection,Ramp,Auto,12.07,45,2,30,OFF,1.2,0.1,0
44,2024-03-19 19:37:00,CCD,AMN,POST,7,I,DW 239,0.6,Detection,Ramp,Auto,13.57,45,2,30,OFF,1.2,0.1,0
45,2024-03-19 19:38:00,CCD,AMN,POST,7,I,DW 239,0.6,Detection,Ramp,Auto,14.32,45,2,30,OFF,1.2,0.1,0
46,2024-03-19 19:38:00,CCD,AMN,POST,7,I,DW 239,0.6,Detection,Ramp,Auto,15.07,45,2,30,OFF,1.2,0.1,0
47,2024-03-19 19:39:00,CCD,AMN,POST,7,C,DW 239,3.8,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
48,2024-03-19 19:40:00,CCD,AMN,POST,7,C,DW 239,12.2,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
49,2024-03-19 19:40:00,CCD,AMN,POST,7,C,DW 239,3.2,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
50,2024-03-19 19:41:00,CCD,AMN,POST,7,C,DW 239,32.0,Cutoff,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
51,2024-03-19 19:41:00,CCD,AMN,POST,7,C,DW 239,3.8,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
52,2024-03-19 19:42:00,CCD,AMN,POST,7,C,DW 239,4.3,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
53,2024-03-25 22:02:00,CCD,AMN,POST,13,I,DW 239,0.4,Detection,Ramp,Auto,9.08,45,2,30,OFF,1.2,0.1,0
54,2024-03-25 22:03:00,CCD,AMN,POST,13,I,DW 239,0.9,Detection,Ramp,Auto,21.8,45,2,30,OFF,1.2,0.1,0
55,2024-03-25 22:03:00,CCD,AMN,POST,13,I,DW 239,0.3,Detection,Ramp,Auto,8.33,45,2,30,OFF,1.2,0.1,0
56,2024-03-25 22:03:00,CCD,AMN,POST,13,I,DW 239,0.2,Detection,Ramp,Auto,6.09,45,2,30,OFF,1.2,0.1,0
57,2024-03-25 22:03:00,CCD,AMN,POST,13,I,DW 239,0.2,Detection,Ramp,Auto,6.09,45,2,30,OFF,1.2,0.1,0
58,2024-03-25 22:03:00,CCD,AMN,POST,13,I,DW 239,0.2,Detection,Ramp,Auto,6.84,45,2,30,OFF,1.2,0.1,0
59,2024-03-25 22:04:00,CCD,AMN,POST,13,I,DW 239,0.1,Detection,Ramp,Auto,3.09,45,2,30,OFF,1.2,0.1,0
60,2024-03-25 22:05:00,CCD,AMN,POST,13,C,DW 239,0.8,Detection,Ramp,Auto,19.56,45,2,30,OFF,1.2,0.1,0
61,2024-03-25 22:05:00,CCD,AMN,POST,13,C,DW 239,2.4,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
62,2024-03-25 22:05:00,CCD,AMN,POST,13,C,DW 239,1.2,Detection,Ramp,Auto,26.29,45,2,30,OFF,1.2,0.1,0
63,2024-03-25 22:05:00,CCD,AMN,POST,13,C,DW 239,1.4,Detection,Ramp,Auto,32.28,45,2,30,OFF,1.2,0.1,0
64,2024-03-25 22:06:00,CCD,AMN,POST,13,C,DW 239,1.3,Detection,Ramp,Auto,29.28,45,2,30,OFF,1.2,0.1,0
65,2024-03-25 22:06:00,CCD,AMN,POST,13,C,DW 239,1.2,Detection,Ramp,Auto,27.04,45,2,30,OFF,1.2,0.1,0
66,2024-03-25 22:06:00,CCD,AMN,POST,13,C,DW 239,2.9,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
67,2024-03-25 22:06:00,CCD,AMN,POST,13,C,DW 239,3.4,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
68,2024-03-25 22:06:00,CCD,AMN,POST,13,C,DW 239,4.2,Detection,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
69,2024-03-29 15:11:00,CCD,AMN,PRE,0,C,DW 240,10.2,Screen Button,Ramp,Auto,45.0,45,2,30,OFF,1.2,0.1,0
70,2024-03-29 15:12:00,CCD,AMN,PRE,0,C,DW 240,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
71,2024-03-29 15:12:00,CCD,AMN,PRE,0,C,DW 240,3.3,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
72,2024-03-29 15:12:00,CCD,AMN,PRE,0,C,DW 240,4.0,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
73,2024-03-29 15:13:00,CCD,AMN,PRE,0,C,DW 240,1.8,Detection,Ramp,Auto,42.01,45,2,5,OFF,1.2,0.1,0
74,2024-03-29 15:14:00,CCD,AMN,PRE,0,I,DW 240,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
75,2024-03-29 15:14:00,CCD,AMN,PRE,0,I,DW 240,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
76,2024-03-29 15:14:00,CCD,AMN,PRE,0,I,DW 240,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
77,2024-03-29 15:14:00,CCD,AMN,PRE,0,I,DW 240,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
78,2024-03-29 15:14:00,CCD,AMN,PRE,0,I,DW 240,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
79,2024-04-02 16:01:00,CCD,AMN,POST,4,I,DW 240,0.1,Detection,Ramp,Auto,3.84,45,2,5,OFF,1.2,0.1,0
80,2024-04-02 16:01:00,CCD,AMN,POST,4,I,DW 240,2.2,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
81,2024-04-02 16:01:00,CCD,AMN,POST,4,I,DW 240,2.1,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
82,2024-04-02 16:01:00,CCD,AMN,POST,4,I,DW 240,1.4,Detection,Ramp,Auto,33.78,45,2,5,OFF,1.2,0.1,0
83,2024-04-02 16:02:00,CCD,AMN,POST,4,I,DW 240,1.2,Detection,Ramp,Auto,26.29,45,2,5,OFF,1.2,0.1,0
84,2024-04-02 16:02:00,CCD,AMN,POST,4,I,DW 240,3.5,Manual Stop,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
85,2024-04-02 16:03:00,CCD,AMN,POST,4,C,DW 240,0.7,Detection,Ramp,Auto,18.06,45,2,5,OFF,1.2,0.1,0
86,2024-04-02 16:03:00,CCD,AMN,POST,4,C,DW 240,1.8,Detection,Ramp,Auto,41.26,45,2,5,OFF,1.2,0.1,0
