Session,Date,Treatment,Protocol,Stage,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold,Inconsistent,Response,SurgeryDate,DayNumber
3168,2025-07-02 10:40:01,CCD,AMN,PRE,I,DW369,5.9,Detection,Ramp,Auto,58.67,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3169,2025-07-02 10:40:39,CCD,AMN,PRE,I,DW369,3.8,Detection,Ramp,Auto,38.77,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3170,2025-07-02 10:41:57,CCD,AMN,PRE,I,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,0
3171,2025-07-02 10:41:59,CCD,AMN,PRE,I,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,0
3172,2025-07-02 10:42:05,CCD,AMN,PRE,I,DW369,0.9,Detection,Ramp,Auto,9.59,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3173,2025-07-02 10:42:46,CCD,AMN,PRE,I,DW369,1.1,Detection,Ramp,Auto,11.91,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3174,2025-07-02 10:43:01,CCD,AMN,PRE,I,DW369,3.5,Detection,Ramp,Auto,34.13,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3175,2025-07-02 10:43:28,CCD,AMN,PRE,I,DW369,3.5,Detection,Ramp,Auto,35.13,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3176,2025-07-02 10:44:45,CCD,AMN,PRE,I,DW369,4.7,Detection,Ramp,Auto,46.73,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3177,2025-07-02 10:45:44,CCD,AMN,PRE,I,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,0
3178,2025-07-02 10:45:54,CCD,AMN,PRE,I,DW369,1.1,Detection,Ramp,Auto,11.91,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3179,2025-07-02 10:47:17,CCD,AMN,PRE,I,DW369,0.2,Detection,Ramp,Auto,2.62,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
